date,hist_rows,hist_has_nan,v_base,v_rmt,realized,n_replaced,replaced_share,lambda_plus,sigma_bar_sq,q,floor_ref,floor_share,exq_base,exq_rmt
2024-03-20,126,True,4.520018994560123e-06,3.118079918222669e-06,3.007072599036857e-06,194,0.97,0.0017267887938780383,0.00033811766279715524,1.5873015873015872,2.276757572214197e-08,3.665657664888986e-06,0.07282790184661492,0.0006491761725546663
2024-04-18,126,True,3.869742930513706e-06,2.756299123653785e-06,6.9000146962984215e-06,193,0.965,0.001731607073810259,0.0003390611166550681,1.5873015873015872,2.2470488718235866e-08,4.960093066781683e-06,0.20473251351203325,0.5857274172071882
2024-05-17,126,True,4.311231967322839e-06,3.8017427135552443e-06,3.843508839574452e-06,193,0.965,0.0016928861185839304,0.00033147927518793833,1.5873015873015872,2.0823618606223812e-08,5.075868494794268e-06,0.006348556146485551,5.9908249237849986e-05
2024-06-17,126,True,4.62563816376744e-06,4.413000720322473e-06,3.3798543197767843e-06,192,0.96,0.0017332951252997677,0.00033939164927511835,1.5873015873015872,2.15888606690278e-08,4.194043827795421e-06,0.044460227268280805,0.0326080250336398
2024-07-16,126,True,4.37297320965324e-06,4.229948172990787e-06,1.2590581226332473e-05,192,0.96,0.0017680394225818867,0.0003461948325215052,1.5873015873015872,2.238748567775432e-08,4.685939737797209e-06,0.8216750985467232,0.8857739410680248
2024-08-14,126,True,4.772269526205894e-06,3.761988436835661e-06,2.9171514193321515e-06,194,0.97,0.002069947125949399,0.00040531053179230435,1.5873015873015872,2.4517078790581353e-08,5.577717411542002e-06,0.10348568922973556,0.02976812477732227
2024-09-12,126,True,3.999024201860709e-06,2.966141864694008e-06,2.8974739243487163e-06,195,0.975,0.0020401086487589386,0.00039946794339653014,1.5873015873015872,2.504389109862495e-08,5.045891708388978e-06,0.046756318555090326,0.0002721839760320144
2024-10-11,126,True,4.013587100222945e-06,2.7698841195175024e-06,8.614499651197348e-06,195,0.975,0.0020862381804547087,0.00040850043740980945,1.5873015873015872,2.6108676247265416e-08,5.038936533119076e-06,0.38257288866062833,0.9754164741239637
2024-11-11,126,True,4.768575866223362e-06,3.616634103308847e-06,5.857647644987756e-06,194,0.97,0.0021786583362768336,0.0004265969684926564,1.5873015873015872,2.7440744952901857e-08,4.590579816599124e-06,0.02268472409268174,0.13743635006146682
2024-12-10,126,True,4.7766820196779275e-06,3.686222983083833e-06,4.275416491393141e-06,193,0.965,0.0022680919641505076,0.0004441087159277356,1.5873015873015872,2.7492244304372334e-08,4.128352576637451e-06,0.0059245365413469475,0.011557472848733985
2025-01-08,126,True,3.687604611861712e-06,2.7525497177196554e-06,6.797489791625338e-06,194,0.97,0.002358824680804988,0.0004618748342875564,1.5873015873015872,2.8279211817346764e-08,4.248776136368739e-06,0.23175846282697843,0.5654990566377132
2025-02-06,126,True,0.0,0.0,0.0,192,0.96,0.0021856223277432144,0.00042796056809829433,1.5873015873015872,2.6703262671571215e-08,,,
2025-03-07,126,True,4.303397886970082e-07,3.8080234337946144e-07,6.240363808552446e-07,193,0.965,0.0024543049567762078,0.0004805705589002425,1.5873015873015872,3.042589547070292e-08,1.247278522176313e-06,0.07846795161162912,0.14481270301613924
2025-04-07,126,True,7.331087871931301e-07,3.7041796078495874e-07,1.4452312513295912e-06,193,0.965,0.00304529222391695,0.0005962901154649692,1.5873015873015872,3.8562005879626414e-08,2.2478907420531346e-06,0.2926430025768969,1.5402304115449605
2025-05-06,126,True,2.0074299360005703e-06,1.641957676086859e-06,1.511696457850426e-06,195,0.975,0.0037143801946879483,0.0007273023514053651,1.5873015873015872,4.592527128570016e-08,1.509512957906138e-06,0.03667343268022849,0.0033238605996894766
2025-06-04,126,True,3.545838672826422e-06,3.118386027325974e-06,1.452314148859825e-06,195,0.975,0.0035723588017669257,0.0006994935414270417,1.5873015873015872,4.669456209013307e-08,2.762819308929301e-06,0.30219915407167663,0.2298835438778979
2025-07-03,126,True,4.8344697594613875e-06,4.2021478839491564e-06,2.0058225639571846e-06,195,0.975,0.0035076034656103777,0.0006868139809663068,1.5873015873015872,4.7225469512236136e-08,2.8152561056686168e-06,0.2946174422197507,0.216874255098934
2025-08-01,126,True,3.936880647119271e-06,2.8938607275605714e-06,3.623566363396745e-06,196,0.98,0.0032753829503125997,0.0006413435342246994,1.5873015873015872,4.4327067307260595e-08,5.553087962889361e-06,0.0033455718021342395,0.027289224228612907
2025-09-01,126,True,4.329258293021432e-06,2.9682848449912773e-06,4.075443329891831e-06,196,0.98,0.003122066164275737,0.0006113230050516238,1.5873015873015872,4.240691427580917e-08,4.92987779209237e-06,0.0017888819989808624,0.056000796692940336
2025-09-30,126,True,4.265092068602883e-06,2.7655700347103216e-06,1.3657102161789268e-05,194,0.97,0.0026524434979309946,0.0005193675100287232,1.5873015873015872,3.425933961508878e-08,5.834395270711919e-06,1.0382691063186331,2.341246462204579
2025-10-29,126,True,3.708600258529275e-06,2.9391365114857797e-06,7.989785367404771e-06,192,0.96,0.002108474593122724,0.00041285448690732624,1.5873015873015872,2.617567311267927e-08,5.853761515985709e-06,0.38688441008289987,0.7183644158827234
2025-11-27,126,False,4.3137461198129085e-06,3.71626431364666e-06,2.933871338523193e-06,194,0.97,0.002355188868569092,0.0004611629161074472,1.5873015873015872,2.8224987735738524e-08,0.0,0.06560533590459894,0.02586400798807409
2025-12-26,126,False,4.543099316633079e-06,3.970543789604035e-06,8.722573024976657e-06,194,0.97,0.0023925518187574123,0.0004684788504230215,1.5873015873015872,2.73335439538024e-08,0.0,0.2676560758215425,0.40980955383323003
2026-01-26,126,False,3.960577921334996e-06,3.3900349150001756e-06,5.6199051351884935e-06,194,0.97,0.002451100476681682,0.00047994309865502754,1.5873015873015872,2.735149575391369e-08,0.0,0.0690360511079775,0.1522974881961232
2026-02-24,126,False,4.22113005952047e-06,3.5107466232761395e-06,2.567880965125255e-06,194,0.97,0.002808058897393087,0.0005498381242392789,1.5873015873015872,3.242898048964043e-08,0.0,0.10536154034967726,0.044182129239666246
2026-03-25,126,False,4.400664448792098e-06,3.3801478087222453e-06,4.599774537407586e-06,195,0.975,0.003042439452746346,0.0005957315223561191,1.5873015873015872,3.629158635064908e-08,0.0,0.0009937122264240816,0.05273268168212519
2026-04-23,126,False,3.8510080699436205e-06,2.987299337721085e-06,6.865580948432638e-06,195,0.975,0.003188723491342132,0.0006243749890093023,1.5873015873015872,3.997099762613455e-08,0.0,0.20461526677036534,0.466105864588358
2026-05-22,126,False,4.101218487734299e-06,3.402564841783413e-06,5.205885656480779e-06,195,0.975,0.0033356321924604953,0.000653140769076216,1.5873015873015872,4.1641675493115836e-08,0.0,0.030845246931567205,0.10472833981231355
2026-06-22,126,False,3.2115042693564092e-06,3.035775349886299e-06,5.364728674458322e-06,194,0.97,0.0037678284019567365,0.0007377678947228166,1.5873015873015872,4.4615748264873026e-08,0.0,0.15736586808587427,0.19779025258569205
2026-07-21,126,False,2.6933941810235804e-06,2.446676378041202e-06,5.6469923752799515e-06,195,0.975,0.004216568684513654,0.0008256344688394636,1.5873015873015872,4.939457758808613e-08,0.0,0.3562873134923765,0.4716333124027885
2026-08-19,126,False,4.121892921326568e-06,3.6513886697339805e-06,,196,0.98,0.004407824312925986,0.0008630836961594703,1.5873015873015872,4.751192865652546e-08,0.0,,
