,spearman_ic
2021-07-19,0.23767755990837858
2021-07-20,0.23833846273223894
2021-07-21,0.1139543109331627
2021-07-22,0.09958451163039905
2021-07-23,-0.017938063547458142
2021-07-26,0.009749589577255989
2021-07-27,0.07340400207935725
2021-07-28,0.06363302735679915
2021-07-29,0.10095214258948144
2021-07-30,0.03295756393130487
2021-08-02,0.07488466880646508
2021-08-03,0.03897289980271193
2021-08-04,0.041506530350885404
2021-08-05,0.016535809019791393
2021-08-06,-0.10940538502532873
2021-08-09,-0.09836963170918886
2021-08-10,-0.10865894162025995
2021-08-11,-0.20152342592453487
2021-08-12,-0.2259544269218138
2021-08-13,-0.24079368108097135
2021-08-16,-0.20555503498410838
2021-08-17,-0.25973277309661863
2021-08-18,-0.24189654357440862
2021-08-19,-0.19297242282444937
2021-08-20,-0.18276967183483922
2021-08-23,-0.1477560789337746
2021-08-24,-0.028637764580279192
2021-08-25,-0.03190460011023921
2021-08-26,-0.0542846638390208
2021-08-27,-0.06575932180398011
2021-08-30,-0.07342131386364943
2021-08-31,-0.08713021034255274
2021-09-01,-0.12378740441112217
2021-09-02,-0.043564596001150126
2021-09-03,-0.027668304659916994
2021-09-07,0.11527102487962103
2021-09-08,0.11803785534561273
2021-09-09,0.08292446509980496
2021-09-10,0.0936404595766657
2021-09-13,0.10783408601575009
2021-09-14,0.12690047056295753
2021-09-15,0.13566023341480168
2021-09-16,0.11550524313769174
2021-09-17,0.11835455916413443
2021-09-20,0.12102159228538296
2021-09-21,0.13234044419171262
2021-09-22,0.11612541235145285
2021-09-23,0.09913338689854984
2021-09-24,0.13626003582351318
2021-09-27,0.12504912798394652
2021-09-28,0.11833724737984225
2021-09-29,0.1398527402342672
2021-09-30,0.17699975596428016
2021-10-01,0.13523762221002192
2021-10-04,0.15539770418839427
2021-10-05,0.10070774092888593
2021-10-06,0.08634099664687972
2021-10-07,0.11048889905396884
2021-10-08,-0.00019144796746648485
2021-10-11,-0.11846148489064497
2021-10-12,-0.08191630824984847
2021-10-13,-0.1158942491141396
2021-10-14,-0.09396021841594483
2021-10-15,-0.08341836012225838
2021-10-18,-0.1054919034350431
2021-10-19,-0.042387394669281736
2021-10-20,-0.04809824680519688
2021-10-21,-0.02344830265363447
2021-10-22,-0.06371042121598773
2021-10-25,-0.017617286367926536
2021-10-26,-0.10746952020536178
2021-10-27,-0.11744314463816366
2021-10-28,-0.15468995771291977
2021-10-29,-0.15747613664370863
2021-11-01,-0.10914265324018856
2021-11-02,-0.04896383601980599
2021-11-03,-0.1368089212196006
2021-11-04,-0.13211437265566178
2021-11-05,-0.10065682391626186
2021-11-08,-0.11104491283182363
2021-11-09,-0.12936383563370976
2021-11-10,-0.13064490767133127
2021-11-11,-0.10052749470419675
2021-11-12,-0.10578213040700027
2021-11-15,-0.12192180506857643
2021-11-16,-0.1301051873375162
2021-11-17,-0.0800405255047779
2021-11-18,-0.09577591908611899
2021-11-19,-0.030552244254944044
2021-11-22,-0.0645780471111018
2021-11-23,-0.015038848848643874
2021-11-24,-0.004637521509799852
2021-11-26,0.001784132122347242
2021-11-29,-0.1164217493649249
2021-11-30,-0.045091088039619594
2021-12-01,0.02242894406090069
2021-12-02,-0.01888206496150831
2021-12-03,-0.022779253107754256
2021-12-06,-0.08991842595384654
2021-12-07,-0.11143493714852398
2021-12-08,-0.06200062793207162
2021-12-09,-0.09412417119659432
2021-12-10,-0.10002137959871353
